numfac|item|codart|descrip|cantidad|precio|desc|tot_ren|emision|grupo
100012|4|39210-39820|SENSOR OXIGENO KIA SORENTO SEDONA 3.5|6|56.40|0|338.40|2023-07-09 00:00:00|OTROS
100012|5|25620-23501-SEO|CARCAZA TERMOSTATO TUCSON INF.LARGA SEONG|9|20.49|0|184.41|2023-07-09 00:00:00|TUCSO
100013|1|92201-FD000-SEO|FARO ANTINIEBLA LH KIA RIO STYLUS SEONG|2|22.03|0|44.06|2023-12-21 00:00:00|RIO
100013|2|23410-25210-050|JGO. PISTON HYUNDAI H1 09 CADENA 0.20(050) TIK 2K8 80100|4|126.50|0|506.00|2023-12-21 00:00:00|H1
100014|1|0K75615171C|TERMOSTATO PREGIO MOBIS|4|0.00|0|0.00|2023-11-02 00:00:00|PREGI
100014|2|25620-25002|CARCAZA TERMOSTATO CARENS 2.0|9|0.00|0|0.00|2023-11-02 00:00:00|OTROS
100014|3|39210-37513|SENSOR OXIGENO KIA SPORTAGE 2.7 RH|2|101.86|0|203.72|2023-11-02 00:00:00|SPTFE
100015|1|0K6A1-10155|JGO. GOMA VALVULA KIA PREGIO|4|7.22|0|28.88|2023-12-18 00:00:00|PREGI
100015|2|0K3Y011SF0-PMC|JGO. CONCHA BIELA RIO 0.10 (0,25)|6|9.30|0|55.80|2023-12-18 00:00:00|RIO
100015|3|21810-2E000-R|BASE MOTOR RH HYUNDAI TUCSON|10|37.38|0|373.80|2023-12-18 00:00:00|TUCSO
100015|4|27501-39A00|JGO. CABLE BUJIA KIA SEDONA/CARNIVAL 2.5 (6 CABLES)|5|34.35|0|171.75|2023-12-18 00:00:00|OTROS
100016|1|25100-25002-SEO|BOMBA AGUA KIA CARENS 2.0 CADENA SEONG|6|29.10|0|174.60|2023-01-21 00:00:00|OTROS
100016|2|57724-4H000-SEO|ROTULA HYUNDAI H1 2008-2015 4H100 SEONG|2|9.77|0|19.54|2023-01-21 00:00:00|H1
100017|1|54830-1F000|BIELETA DEL. RH/LH HYUNDAI TUCSON / KIA SPORTAGE 2|5|0.00|0|0.00|2023-01-14 00:00:00|TUCSO
100018|1|25460-26000-SEO|TUBO AGUA HYUNDAI ELANTRA/GETZ SEONG|8|11.64|0|93.12|2023-02-02 00:00:00|ELGTZ
100018|2|21810-2G000-SEO|BASE MOTOR RH KIA NEW CARENS|2|0.00|0|0.00|2023-02-02 00:00:00|OTROS
100018|3|39210-3C200-SEO|SENSOR OXIGENO HYUNDAI SONATA 3.3 TRAS RH SEONG|4|36.71|0|146.84|2023-02-02 00:00:00|OTROS
100019|1|23060-02591-020|JGO. CONCHA BIELA KIA PICANTO 0.20 (0.50)|8|8.97|0|71.76|2023-10-12 00:00:00|PICAN
100019|2|39310-02200-K|SENSOR POSICION CIGUENAL KIA PICANTO PMC|1|31.60|0|31.60|2023-10-12 00:00:00|PICAN
100019|3|2410002200|ARBOL LEVA KIA PICANTO KOREA|8|82.35|0|658.80|2023-10-12 00:00:00|PICAN
100019|4|54551-4H000|BUJE PEQ. MESETA INF. DEL. HYUNDAI H1 07-15 / SANTA FE (70mm x 14mm)|6|8.07|0|48.42|2023-10-12 00:00:00|H1
100020|1|51712-FD200|DISCO FRENO KIA RIO STYLUS|10|50.31|0|503.10|2023-03-09 00:00:00|RIO
100020|2|KITPISPIC-020|KIT PISTON Y ANILLO KIA PICANTO 0.20 (0.50)|2|93.43|0|186.86|2023-03-09 00:00:00|PICAN
100020|3|25411-2D000|MANGUERA RAD. SUP. HYUNDAI ELANTRA 1.6|6|10.93|0|65.58|2023-03-09 00:00:00|ELGTZ
100020|4|0K30E-10271|EMPACADURA CAMARA KIA RIO 1.5 KOREA|9|6.07|0|54.63|2023-03-09 00:00:00|RIO
100021|1|24410-2E000|TENSOR CADENA TUCSON 15-18|5|41.24|0|206.20|2023-05-27 00:00:00|TUCSO
100022|1|55160-1C200-SEO|BUJE DIFERENCIAL TRAS. HYUNDAI GETZ|8|0.00|0|0.00|2023-02-21 00:00:00|ELGTZ
100023|1|82620-FD10008|MANILLA INT. RH KIA RIO STYLUS SEONG|6|10.42|0|62.52|2023-09-07 00:00:00|RIO
100023|2|21811-2B000-SE|BASE MOTOR RH HYUNDAI SANTA FE 07|5|44.68|0|223.40|2023-09-07 00:00:00|SPTFE
100024|1|0K3Y0-11-SC0-10|JGO. ANILLO KIA RIO 1.5 0.40 (1.00) TIK R2K75510|8|29.64|0|237.12|2023-02-21 00:00:00|RIO
100024|2|21811-4A200|BASE MOTOR RH/LH HYUNDAI H1 07 (4A000)|1|19.70|0|19.70|2023-02-21 00:00:00|H1
100024|3|33110-07150|BOMBA GASOLINA KIA PICANTO|7|150.78|0|1055.46|2023-02-21 00:00:00|PICAN
100024|4|25310-2E100A|RADIADOR HYUNDAI TUCSON TM|1|197.20|0|197.20|2023-02-21 00:00:00|TUCSO
100025|1|54417-4AA00-KP|MUNON SUP HYUNDAI H1 07|6|19.04|0|114.24|2023-02-25 00:00:00|H1
100025|2|23120-02590|ENGRANAJE CIGUENAL PICANTO CON CUNA|3|0.00|0|0.00|2023-02-25 00:00:00|PICAN
100025|3|94460-2F000|FLOTANTE GASOLINA KIA CERATO 1.6|7|24.99|0|174.93|2023-02-25 00:00:00|OTROS
100025|4|22231-37110|TAQUETE GETZ - PAQ 8 PCS|4|69.33|0|277.32|2023-02-25 00:00:00|GETZ
100026|1|22311-2E080|EMPACADURA CAMARA HYUNDAI TUCSON 2015|3|18.02|0|54.06|2023-05-27 00:00:00|TUCSO
100027|1|24810-23050-PMC|POLEA TIEMPO TUCSON PMC 23400|10|15.55|0|155.50|2023-01-15 00:00:00|TUCSO
100027|2|25720-23600|FAN CLUTCH HYUNDAI H1 07 (GWHY-08F) 43600|10|91.80|0|918.00|2023-01-15 00:00:00|H1
100027|3|22321-26000|TORNILLO CAMARA GETZ /ELANTRA /RIO CVVT 1.6|10|3.21|0|32.10|2023-01-15 00:00:00|ELGTZ
100027|4|23410-26501-075|JGO. PISTON GETZ 1.6 0.75|8|76.35|0|610.80|2023-01-15 00:00:00|GETZ
100027|5|20910-2GU01|JGO. EMPACADURA HYUNDAI SANTA FE 2014|6|97.14|0|582.84|2023-01-15 00:00:00|SPTFE
100028|1|25430-4E010|RESERVORIO AGUA KIA PREGIO|8|22.16|0|177.28|2023-06-16 00:00:00|PREGI
100029|1|94460-22020-SEO|FLOTANTE GASOLINA HYUNDAI ACCENT SEONG|8|19.12|0|152.96|2023-09-03 00:00:00|ACCEN
100029|2|0K2A218W63|REGULADOR ALTERNADOR KIA RIO 1.5|7|25.58|0|179.06|2023-09-03 00:00:00|RIO
100029|3|25329-1R200|CUELLO RADIADOR TUCSON 2014|7|15.73|0|110.11|2023-09-03 00:00:00|TUCSO
100029|4|53912-2E200|BUJE CENTRAL DIFERENCIAL TRAS. HYUNDAI TUCSON / KIA SPORTAGE|7|8.71|0|60.97|2023-09-03 00:00:00|SPTFE
100030|1|46512-39600|PINON KILOMETRAJE SANTA FE 01-05|7|8.65|0|60.55|2023-01-27 00:00:00|SPTFE
100030|2|54610-4H000|BASE AMORT. DEL. HYUNDAI H1 09 / KIA SEDONA / STA|6|27.23|0|163.38|2023-01-27 00:00:00|H1
100030|3|23040-3C200-STD|JGO. ANILLO KIA SORENTO/SEDONA 3.8 STD TIK R2K9601|6|62.15|0|372.90|2023-01-27 00:00:00|OTROS
100031|1|24410-23050-V|TENSOR TUCSON GRANADA|10|0.00|0|0.00|2023-12-21 00:00:00|TUCSO
100031|2|HDK-146|KIT EMBRAGUE HYUNDAI H1 2.4 2007 (SECO)|1|229.62|0|229.62|2023-12-21 00:00:00|OTROS
100031|3|0K2FX-39-050|BASE MOTOR DEL. KIA CARENS NO.2|2|0.00|0|0.00|2023-12-21 00:00:00|OTROS
100031|4|0K72A-34-830|BUJE PEQ. MESETA SUP. DEL. KIA PREGIO|8|5.55|0|44.40|2023-12-21 00:00:00|PREGI
100032|1|KK1YO-11SH0-025|JGO. CONCHA BANCADA KIA RIO 0.10 (0.25)|6|12.21|0|73.26|2023-12-19 00:00:00|RIO
100033|1|96966707-REX|POLEA UNICA AVEO REX|2|6.27|0|12.54|2023-03-27 00:00:00|OTROS
100034|1|26300-2Y500-SE|FILTRO ACEITE KIA RIO SEONG|10|3.34|0|33.40|2023-03-27 00:00:00|RIO
100034|2|41610-2F110|BOMBA CLUTCH SUP. KIA CERATO (KCC060CG)|7|53.80|0|376.60|2023-03-27 00:00:00|OTROS
100034|3|41430-22652|HORQUILLA CLUTCH ACCENT|1|11.39|0|11.39|2023-03-27 00:00:00|ACCEN
100034|4|25620-37350-SEO|TOMA AGUA KIA SPORTAGE 2.7 SEONG|9|91.20|0|820.80|2023-03-27 00:00:00|SPTFE
100035|1|51760-3K000|MUNON INF SONATA 99-05 / OPTIMA 06-09|2|20.94|0|41.88|2023-08-12 00:00:00|OTROS
100035|2|23510-4Z100-TKC|BRAZO BIELA KIA PREGIO 3.0|2|0.00|0|0.00|2023-08-12 00:00:00|PREGI
100035|3|22410-22030-SE|TAPA VALVULA  HYUNDAI ACCENT SEONG|2|52.90|0|105.80|2023-08-12 00:00:00|ACCEN
100036|1|25380-FD000-PMC|ELECTROVENTILADOR PRINC. RIO PMC|8|68.28|0|546.24|2023-04-28 00:00:00|RIO
100037|1|28113-22051|FILTRO AIRE ACCENT 1.5|9|1.23|0|11.07|2023-04-02 00:00:00|ACCEN
100037|2|MEKIH109-SEONG|MEDIO KIT CADENA H1 09/TUC/CARE (2 CADENA + 1 TENSOR) SEONG|6|52.52|0|315.12|2023-04-02 00:00:00|H1
100037|3|KITPISGETZ-STD|KIT PISTON Y ANILLO HYUNDAI ELANTRA/GETZ STD|7|98.87|0|692.09|2023-04-02 00:00:00|ELGTZ
100037|4|39180-37150-TKC|SENSOR POSICION CIGUENAL KIA SPORTAGE 2.7|2|20.75|0|41.50|2023-04-02 00:00:00|SPTFE
100037|5|39220-3C100|SENSOR TEMPERATURA ACEITE SANTA FE 2.7|3|18.80|0|56.40|2023-04-02 00:00:00|SPTFE
100038|1|23410-26111-100|JGO. PISTON GETZ 1.6/ELAN 1.6 0.40(100)TIK 2H76520 0|7|88.55|0|619.85|2023-02-05 00:00:00|ELGTZ
100038|2|HY-820|PUNTA TRIPOIDE TUCSON 27*23|5|0.00|0|0.00|2023-02-05 00:00:00|TUCSO
100038|3|863502E000|PARRILLA TUCSON|9|35.26|0|317.34|2023-02-05 00:00:00|TUCSO
100038|4|56820-07000|TERMINAL KIA RIO IRP|7|0.00|0|0.00|2023-02-05 00:00:00|RIO
100039|1|25380-FD000-PMC|ELECTROVENTILADOR PRINC. RIO PMC|5|68.28|0|341.40|2023-01-07 00:00:00|RIO
100040|1|23040-3E001-050|JGO. ANILLO KIA SPORTAGE 2.7 0.20 (0.50) SEONG|10|34.67|0|346.70|2023-10-15 00:00:00|SPTFE
100040|2|23060-22540-100|JGO. CONCHA BIELA ACCENT / GETZ 0.40 (1,00)|4|9.84|0|39.36|2023-10-15 00:00:00|GETZ
100041|1|58510-4H000|BOMBA FRENO HYUNDAI H1 09|9|0.00|0|0.00|2023-07-21 00:00:00|H1
100042|1|25310-2E100A-SE|RADIADOR HYUNDAI TUCSON T/M SEONG|5|149.67|0|748.35|2023-05-10 00:00:00|TUCSO
100042|2|83241-2D000-SEO|LAME VIDRIO TRASERO RH HYUNDAI ELANTRA|10|0.00|0|0.00|2023-05-10 00:00:00|ELAN
100042|3|23410-26111-100|JGO. PISTON GETZ 1.6/ELAN 1.6 0.40(100)TIK 2H76520 0|8|88.55|0|708.40|2023-05-10 00:00:00|ELGTZ
100043|1|826601C000CA|MANILLA EXT. RH GETZ|6|12.74|0|76.44|2023-03-13 00:00:00|ELGTZ
100043|2|24810-23050|POLEA TIEMPO HYUNDAI TUCSON GMB (GT10160)|2|20.60|0|41.20|2023-03-13 00:00:00|TUCSO
100044|1|54551-1D000-PMC|BUJE PEQ. MESETA INF. DEL. HYUNDAI TUCSON 2G000|8|4.15|0|33.20|2023-04-14 00:00:00|TUCSO
100045|1|56820-4Z000|TERMINAL LH SANTA FE 2014|5|38.63|0|193.15|2023-09-17 00:00:00|SPTFE
100046|1|57510-2E001|TUBERIA SUCCION DH ALTA TUCSON|4|0.00|0|0.00|2023-06-09 00:00:00|TUCSO
100047|1|94460-2F000-K|FLOTANTE GASOLINA KIA CERATO 1.6 AM|9|12.65|0|113.85|2023-10-30 00:00:00|OTROS
100048|1|23040-4Z910-SEO|JGO. ANILLO KIA PREGIO 3.0 SEONG|2|38.31|0|76.62|2023-02-22 00:00:00|PREGI
100048|2|22144-3B001-PMC|ESTOPERA ARBOL DE LEVA ACCENT/TUCSON/GETZ (42880)|5|2.42|0|12.10|2023-02-22 00:00:00|ACCEN
100048|3|58115FDA00-PMC|JGO. PASTILLAS KIA RIO STYLUS PMC|1|20.13|0|20.13|2023-02-22 00:00:00|RIO
100049|1|24551-22020-SE|MARTILLO A HYUNDAI ACCENT SEONG|10|11.11|0|111.10|2023-05-12 00:00:00|ACCEN
100049|2|GT10160|POLEA TIEMPO TUCSON GMB|8|26.52|0|212.16|2023-05-12 00:00:00|TUCSO
100049|3|27300-3F10B-SEO|CHUPON BOBINA SPORTAGE / SANTA FE/ H1 09|10|0.00|0|0.00|2023-05-12 00:00:00|SPTFE
100049|4|26510-2X001|TAPA  ACEITE KIA RIO STYLUS|10|3.43|0|34.30|2023-05-12 00:00:00|RIO
100049|5|39330-22000-TKC|SENSOR MAP HYUNDAI ACCENT 1.3/ELANTRA 1.8 TIBURON|10|16.79|0|167.90|2023-05-12 00:00:00|ACCEN
100050|1|KITPISRIO-STD|KIT PISTON Y ANILLO KIA RIO 1.5 STD|10|103.47|0|1034.70|2023-12-13 00:00:00|RIO
100050|2|25100-26902-SEO|BOMBA AGUA HYUNDAI GETZ 1.6 SEONG|5|25.20|0|126.00|2023-12-13 00:00:00|ELGTZ
100050|3|21930-1F100|BASE MOTOR TRAS. HYUNDAI TUCSON|5|27.09|0|135.45|2023-12-13 00:00:00|TUCSO
100050|4|25100-39012|BOMBA AGUA KIA SEDONA 3.5|5|0.00|0|0.00|2023-12-13 00:00:00|OTROS
100051|1|35150-22600-TKC|VALVULA IAC HYUNDAI GETZ/TUCSON/RIO/ELANTRA|7|26.61|0|186.27|2023-01-15 00:00:00|ELGTZ
100051|2|57724-4H000|ROTULA HYUNDAI H1 2008-2015 4H100|9|15.53|0|139.77|2023-01-15 00:00:00|H1
100051|3|51750-2D000-K|MOZO DELANTERO ELANTRA / 51750-2D003|1|31.65|0|31.65|2023-01-15 00:00:00|ELGTZ
100052|1|24410-3E100|TENSOR HIDRAULICO TIEMPO HYUNDAI SANTA FE 07 3E500|5|50.80|0|254.00|2023-10-16 00:00:00|SPTFE
100052|2|97133-2E210|FILTRO A/A HYUNDAI TUCSON|5|4.76|0|23.80|2023-10-16 00:00:00|TUCSO
100052|3|97133-2F010|FILTRO A/A CERATO|2|6.06|0|12.12|2023-10-16 00:00:00|OTROS
100053|1|51716-FD000|PUNTA EJE RH KIA RIO STYLUS / 51716-FD300|2|78.77|0|157.54|2023-11-26 00:00:00|RIO
100053|2|54500-FD000-KOR|MESETA LH KIA RIO STYLUS|7|46.00|0|322.00|2023-11-26 00:00:00|RIO
100053|3|0K72A-26610|CILINDRO FRENO RH KIA PREGIO 13T0138CG|3|39.48|0|118.44|2023-11-26 00:00:00|PREGI
100053|4|KITPISTUCKO020|KIT PISTON Y ANILLO TUCSON 0.20(0.50) SEONG KOBIS|8|105.58|0|844.64|2023-11-26 00:00:00|TUCSO
100054|1|0K75A-10-100-AS|CAMARA MOTOR KIA PREGIO 3.0 COMPLETA SEONG|1|460.00|0|460.00|2023-11-12 00:00:00|PREGI
100054|2|21810-26500|BASE MOTOR RH HYUNDAI SANTA FE 01-05|8|0.00|0|0.00|2023-11-12 00:00:00|SPTFE
100055|1|25620-23501-SEO|CARCAZA TERMOSTATO TUCSON INF.LARGA SEONG|2|20.49|0|40.98|2023-06-03 00:00:00|TUCSO
100055|2|57100-4E001|BOMBA DIRECCION KIA PREGIO 3.0 PMC|4|218.76|0|875.04|2023-06-03 00:00:00|PREGI
100055|3|0K72B-46500|GUAYA SELECTORA KIA PREGIO LARGA|9|31.06|0|279.54|2023-06-03 00:00:00|PREGI
100055|4|31110-2D000-SEO|BOMBA GASOLINA HYUNDAI ELANTRA SEONG|7|96.47|0|675.29|2023-06-03 00:00:00|ELGTZ
100056|1|0S089-41400|BOMBA CLUTCH SUP. KIA PREGIO 3.0 13C0130|8|57.64|0|461.12|2023-11-07 00:00:00|PREGI
100056|2|57410LM29710|RODAMIENTO DELANTERO ACCENT|3|11.57|0|34.71|2023-11-07 00:00:00|ACCEN
100056|3|24431-37100-SE|GUIA CADENA 2 INFERIOR KIA SPORTAGE 2.7|5|18.58|0|92.90|2023-11-07 00:00:00|SPTFE
100056|4|0K30C-11210|BRAZO BIELA KIA RIO STYLUS 1.5|9|42.87|0|385.83|2023-11-07 00:00:00|RIO
100057|1|39210-2X010|SENSOR OXIGENO KIA RIO STYLUS 1.5|3|64.45|0|193.35|2023-01-19 00:00:00|RIO
100057|2|95670-2B000|SENSOR ABS DELT SANTA FE 2007 LH|1|51.13|0|51.13|2023-01-19 00:00:00|SPTFE
100058|1|21830-1C270-K|BASE CAJA LH HYUNDAI GETZ 1C270|1|56.35|0|56.35|2023-05-16 00:00:00|ELGTZ
100059|1|54840-B4000|BIELETA DEL. RH HYUNDAI i10|6|10.93|0|65.58|2023-10-07 00:00:00|I10
100059|2|23060-02502|JGO. CONCHA BIELA STD PICANTO EXFIRE|1|0.00|0|0.00|2023-10-07 00:00:00|PICAN
100059|3|21350-22001-213|CARCAZA INF. CORREA TIEMPO ACCENT GETZ 1.3|4|12.04|0|48.16|2023-10-07 00:00:00|ACCEN
100059|4|58510-2B300-SE|BOMBA FRENO HYUNDAI SANTA FE 06-09 SEONG|2|57.50|0|115.00|2023-10-07 00:00:00|SPTFE
100059|5|24312-2X000-OEM|CORREA DE TIEMPO KIA RIO ORIGINAL|5|0.00|0|0.00|2023-10-07 00:00:00|RIO
100060|1|54551-02000|BUJE PEQ. MESETA INF. DEL. HYUNDAI ACCENT|7|4.37|0|30.59|2023-08-26 00:00:00|ACCEN
100060|2|82210-2E000-SEO|LAME VIDRIO DELANTERO LH HUYNDAI TUCSON|6|0.00|0|0.00|2023-08-26 00:00:00|TUCSO
100060|3|863502E000|PARRILLA TUCSON|3|35.26|0|105.78|2023-08-26 00:00:00|TUCSO
100061|1|82620-2E000|MANILLA INT. RH TUCSON KP|1|12.40|0|12.40|2023-04-24 00:00:00|TUCSO
100061|2|56820-2B000-KP|TERMINAL LH HYUNDAI SANTA FE|8|13.23|0|105.84|2023-04-24 00:00:00|SPTFE
100061|3|22224-23001-16|JGO. GOMA VALVULA TUCSON/GETZ (16 PCS)|2|10.40|0|20.80|2023-04-24 00:00:00|ELGTZ
100062|1|36120-23070|AUTOMATICO HYUNDAI TUCSON / KIA SPORTAGE 2.0|7|36.90|0|258.30|2023-08-29 00:00:00|TUCSO
100062|2|22212-26600|JGO. VALVULA ESC GETZ/ELANTRA 1.6 PAQ8|5|19.42|0|97.10|2023-08-29 00:00:00|ELGTZ
100062|3|58115241S0|JGO. PASTILLAS HYUNDAI ACCENT/GETZ PARTS MALL|4|18.60|0|74.40|2023-08-29 00:00:00|ACCEN
100062|4|21020-2G100|JGO. CONCHA BANCADA HYUNDAI H1 09 STD (2G010)|5|29.43|0|147.15|2023-08-29 00:00:00|H1
100062|5|0KFY3-11-SC0-ST|JGO. ANILLO SPORTAGE 01-03 STD|7|35.64|0|249.48|2023-08-29 00:00:00|SPTFE
100063|1|KIT-03|KIT PISTON Y ANILLO PICANTO 0.20|2|0.00|0|0.00|2023-02-08 00:00:00|PICAN
100063|2|110S8M22|CORREA TIEMPO ACCENT 1.3/1.5/GETZ 1.3 110D|4|22.59|0|90.36|2023-02-08 00:00:00|MITSU
100063|3|25380-1C110|ELECTROVENTILADOR GETZ 1.3|8|76.97|0|615.76|2023-02-08 00:00:00|ELGTZ
100063|4|46321-39010-SEO|FILTRO ACEITE CAJA T/A TUCSON/ELAN 2.0 SEONG|2|12.65|0|25.30|2023-02-08 00:00:00|TUCSO
100063|5|31150-3E000|FLOTANTE GASOLINA KIA SORENTO 3.8 (3E300)|5|38.27|0|191.35|2023-02-08 00:00:00|OTROS
100064|1|21830-1G000-SEO|BASE CAJA LH KIA RIO 1.6 / ACCENT CVVT 1.6 SEONG|3|37.72|0|113.16|2023-10-21 00:00:00|OTROS
100064|2|94460-D3000|FLOTANTE GASOLINA TUCSON 2014 D3900|3|33.04|0|99.12|2023-10-21 00:00:00|TUCSO
100064|3|54610-25000-SEO|BASE AMORT. DEL. HYUNDAI ACCENT / GETZ SEONG|5|14.81|0|74.05|2023-10-21 00:00:00|ACCEN
100064|4|24355-23770-SE|VALVULA OCV HYUNDAI TUCSON LARGA SEONG|5|43.14|0|215.70|2023-10-21 00:00:00|TUCSO
100064|5|28113-08000-SEO|FILTRO AIRE MOTOR TUCSON SEONG|1|7.91|0|7.91|2023-10-21 00:00:00|TUCSO
100065|1|22441-25100|EMPACADURA TAPA VALVULA CARENS 2.0 CADENA|7|8.00|0|56.00|2023-12-25 00:00:00|OTROS
100065|2|39310-38400|SENSOR POSICION CIGUENAL HYUNDAI H1 07 CORREA|10|35.51|0|355.10|2023-12-25 00:00:00|H1
100065|3|22441-2X001-CH|EMPACADURA TAPA VALVULA RIO STYLUS GENERICA|9|0.00|0|0.00|2023-12-25 00:00:00|RIO
100065|4|21352-3C500|ESTOPERA BOMBA ACEITE SONATA 3.3/ AZERA 3.3|7|7.75|0|54.25|2023-12-25 00:00:00|OTROS
100066|1|54610-D7000|BASE AMORT. DEL. HYUNDAI TUCSON 15-18 (D3000)|5|30.37|0|151.85|2023-11-25 00:00:00|TUCSO
100066|2|2306002591-PMC|JGO. CONCHA BIELA PICANTO 0.10 (0,25)|6|16.53|0|99.18|2023-11-25 00:00:00|PICAN
100066|3|41100-22710-KP|DISCO DE EMBRAGUE HYUNDAI GETZ|6|0.00|0|0.00|2023-11-25 00:00:00|ELGTZ
100066|4|KITPISGETZ-030|KIT PISTON Y ANILLO ELANTRA/GETZ 0.30 (075)|3|110.37|0|331.11|2023-11-25 00:00:00|ELGTZ
100067|1|0K201-11312.|ESTOPERA TRASERA CIGUENAL KIA RIO 1.5 ORIG|8|3.53|0|28.24|2023-07-08 00:00:00|RIO
100068|1|25500-2B400-TKC|TERMOSTATO HYUNDAI i10|9|12.65|0|113.85|2023-08-03 00:00:00|i10
100068|2|39180-22090-SE|SENSOR POSICION CIGUENAL ACCENT 3PINES|1|11.50|0|11.50|2023-08-03 00:00:00|ACCEN
100068|3|545014A600|MESETA DELT INF LH HYUNDAI H1 01-07|3|78.74|0|236.22|2023-08-03 00:00:00|H1
100069|1|22311-2C200|EMPACADURA CAMARA HYUNDAI H1 2009 DE CADENA|2|16.10|0|32.20|2023-03-05 00:00:00|H1
100070|1|24321-2G111|CADENA TIEMPO HYUNDAI SANTA FE 2014|10|0.00|0|0.00|2023-10-30 00:00:00|SPTFE
100071|1|24610-22600|JGO. TAQUETES HYUNDAI ACCENT 12 (MJF0112100)|9|57.38|0|516.42|2023-06-16 00:00:00|ACCEN
100071|2|22211-42220|VALVULA DE ADMISION HYUNDAI H100|6|5.82|0|34.92|2023-06-16 00:00:00|OTROS
