codart|nomart|grupo|marca|precio_a|precio_b|precio_d|codfam|stk01|stk06|alterno
54503-31600|MU¥ON ACCENT/GETZ/ELANTRA|ACCEN|00143|0.0000|8.2500|3.3100|KOREA|||
22311-26101-OEM|EMPACADURA CAMARA GETZ 1.6|ELGTZ|00143|0.0000|4.1800|1.4500|KOREA|||
56820-2E900|TERMINAL TUCSON RH|TUCSO|00002|0.0000|12.8000|4.2800|KOREA|||
56820-2E000|TERMINAL TUCSON LH|TUCSO|00002|0.0000|12.8000|4.2800|KOREA|||
22311-23130|EMPACADURA CAMARA ACCENT 1.5|ACCEN|00002|0.0000|0.0000|2.1800|KOREA|||
57724-2E000|ROTULA TUCSON|TUCSO|00143|0.0000|10.5500|4.7400|KOREA|||
0K30A-41150C|GUAYA CLUTCH KIA RIO|RIO|00025|0.0000|9.0200|2.4700|KOREA|||
KSR62-10270|JGO. EMPACADURA TUCSON/CERATO 2.0|TUCSO|00002|0.0000|49.8000|18.2000|KOREA|||
96966707|TENSOR CORREA UNICA AVEO|OTROS|00031|0.0000|25.4200|15.1600|KOREA|||
97730-FD100|ELECTROVENTILADOR AUXILIAR KIA RIO|RIO|00040|0.0000|64.6600|19.8600|KOREA|||
56540-22000|ROTULA ACCENT|ACCEN|00143|0.0000|12.0400|4.2100|KOREA|||
MDX74-33-251|DISCO FRENO RIO STYLUS KDX74|RIO|00066|0.0000|36.7800|7.5700|KOREA|||
96473400|EMPACADURA CAMARA AVEO 2 HUECOS|OTROS|00007|0.0000|0.0000|1.2000|KOREA|||
22311-23700-OEM|EMPACADURA CAMARA TUCSON|TUCSO|00055|0.0000|4.4400|1.5500|KOREA|||
22441-23800-OEM|EMPACADURA TAPA VALVULA TUCSON 23762|TUCSO|00108|0.0000|3.8600|1.3400|CHINA|||
24551-02200|MARTILLO ADMISION PICANTO|PICAN|00127|0.0000|10.1200|3.6000|KOREA|||
24441-26020|EMPACADURA TAPA VALVULA GETZ 1.6|ELGTZ|00022|0.0000|3.8100|1.2000|KOREA|||
27301-2B000|BOBINA KIA CERATO 1,6|OTROS|00044|0.0000|26.2100|8.0500|KOREA|||
24410-26000|TENSOR HYUNDAI ACCENT/GETZ GMB|ELGTZ|00001|0.0000|13.2500|4.7200|KOREA|||
56820-07000|TERMINAL KIA RIO IRP|RIO|00094|0.0000|0.0000|2.9400|KOREA|||
22311-37310/20|EMPACADURA CAMARA IZQ+DERE SPTAGE 2.7/STA FE GOLD|SPTFE|00002|0.0000|31.9900|8.3600|KOREA|||
96535089|MU¥ON AVEO|OTROS|00008|0.0000|0.0000|3.0500|KOREA|||
41510-07120|GUAYA CLUTCH PICANTO|PICAN|00122|0.0000|10.5000|2.8000|KOREA|||
24552-22020|MARTILLO B ACCENT|ACCEN|00005|0.0000|9.1800|2.8800|KOREA|||
21910-2E501|BASE MOTOR DEL. TUCSON PMC|TUCSO|00002|0.0000|19.3800|7.2800|KOREA|||
K0AD4-10270|JGO. EMPACADURA SPORTAGE 2.7|OTROS|00020|0.0000|103.5900|33.0000|KOREA|||
GT20060|POLEA TIEMPO KIA RIO 1.5 GMB|RIO|00001|0.0000|16.0400|4.8500|KOREA|||
37370-4Z210|REGULADOR ALTERNADOR PREGIO 3.0|PREGI|00007|0.0000|20.5300|6.2400|KOREA|||
58101-07A00|PASTILLA FRENO PICANTO|PICAN|00002|0.0000|0.0000|7.2500|KOREA|||
0K75A46600D|GUAYA SELECTORA PREGIO CORTA|PREGI|00002|0.0000|23.0800|8.4400|KOREA|||
24551-22020|MARTILLO A  ACCENT|ACCEN|00005|0.0000|8.0200|2.7100|KOREA|||
22224-23500|JGO. GOMA VALVULA ACCENT MOBIS|ACCEN|00004|0.0000|0.0000|2.5400|KOREA|||
24610-22600|JGO. TAQUETES ACCENT PAQ 12|ACCEN|00007|0.0000|48.4900|19.3400|KOREA|||
24410-23050-V|TENSOR TUCSON GRANADA|TUCSO|00066|0.0000|0.0000|12.7000|KOREA|||
96450249|CABLE BUJIA AVEO PRECISE|OTROS|00010|0.0000|0.0000|2.4000|KOREA|||
25380-FD000|ELECTROVENTILADOR PRINICIPAL KIA RIO 1.5|RIO|00040|0.0000|51.6900|18.8300|KOREA|||
94508116|JGO. CONCHA BIELA STD SPARK EXFIRE|OTROS|00061|0.0000|0.0000|1.4500|KOREA|||
24312-23202|CORREA TIEMPO TUCSON GATES|TUCSO|00031|0.0000|18.7700|6.3900|KOREA|||
20910-22R10|JGO. EMPACADURA ACCENT 1.5|ACCEN|00002|0.0000|0.0000|12.2500|KOREA|||
21443-33005|ESTOPERA TRASERA CIGUENAL TUCSON|TUCSO|00110|0.0000|4.8500|0.9700|KOREA|||
0K65A14100E|BOMBA ACEITE KIA PREGIO 3.0|PREGI|00176|0.0000|85.0400|37.7800|KOREA|||
54503-22A00|MUNON ACCENT/GETZ/ELAN KP|ACCEN|00118|0.0000|6.5900|3.2000|CHINA|||
24410-02550-GMB|TENSOR TIEMPO PICANTO GMB|PICAN|00001|0.0000|13.9100|5.3300|KOREA|||
25380-1C110|ELECTROVENTILADOR GETZ 1.3|GETZ|00041|0.0000|64.0100|29.4400|KOREA|||
24312-02270|CORREA TIEMPO PICANTO GATES|PICAN|00031|0.0000|16.2200|6.1000|KOREA|||
22441-2X001|EMPACADURA TAPA VALVULA RIO STYLUS|RIO|00143|0.0000|2.6700|1.3000|KOREA|||
0K75A-10311B|JGO. CAMISA PREGIO 3.0|PREGI|00180|0.0000|145.0000|66.1600|KOREA|||
0K30E-13890|VALVULA PCV KIA RIO|RIO|00014|0.0000|4.1400|1.2000|KOREA|||
27301-22040|BOBINA IGNICION ACCENT|ACCEN|00134|0.0000|24.2900|12.1600|KOREA|||
KIT-03|KIT PISTON Y ANILLO PICANTO 0.20|PICAN|00068|0.0000|0.0000|31.6400|KOREA|||
21020-02591|JGO. CONCHA BANCADA PICANTO 0.10|PICAN|00005|0.0000|9.4200|4.5100|KOREA|||
2304023300-F|JGO ANILLO TUCSON STD FINO|TUCSO||0.0000|0.0000|9.0000||||
23060-02502|JGO. CONCHA BIELA STD PICANTO EXFIRE|PICAN||0.0000|0.0000|2.0000||||
2410-23701|JGO. PISTON STD TUCSON ARO FINO EXFIRE|TUCSO||0.0000|0.0000|15.0000||||
21930-1F100|BASE MOTOR TRASERA TUCSON|TUCSO|00091|0.0000|19.8100|5.4600|KOREA|||
0K30F39050A|BASE MOTOR KIA RIO STYLUS 1|RIO|00095|0.0000|17.5000|5.1500|KOREA|||
54551-2E000|BUJE MESETA PEQUE¥O TUCSON|TUCSO|00083|0.0000|5.5300|2.1000|KOREA|||
23124-2X010|DAMPER KIA RIO 1.5|RIO|00007|0.0000|38.5000|13.7900|KOREA|||
54830-1F000|BIELETA TUCSON IRP|TUCSO||0.0000|0.0000|3.5700||||
0K75A-10270B|JGO. EMPACADURA PREGIO 3.0|PREGI|00002|0.0000|26.8500|14.4600|KOREA|||
HDK-101|KIT EMBRAGUE GETZ 1.6 SECO|ELGTZ|00052|0.0000|149.2400|45.9100|KOREA|||
22443-23001|KIT SELLOS BUJIAS HYUNDAI TODOS|TUCSO|00002|0.0000|5.8000|1.8800|KOREA|||
24410-02550|TENSOR TIEMPO PICANTO|PICAN|00101|0.0000|0.0000|4.8900|KOREA|||
23120-02570|ENGRANAJE CIGUE¥AL KIA PICANTO CUADRANTE|PICAN|00002|0.0000|7.8400|2.3300|KOREA|||
51750-FD000|MOSO DELANTERO RIO STYLUS|RIO|00137|0.0000|25.9700|8.1500|KOREA|||
KIT-01|KIT PISTON Y ANILLO TUCSON 0.20|TUCSO||0.0000|0.0000|43.4000||||
23410-23942|JGO. PISTON 0.50 TUCSON PMC MUESTRA|TUCSO|00002|0.0000|81.2700|25.8800|KOREA|||
0K3Y2-11SCO|JGO. ANILLO STD RIO 1.5  EXFIRE|RIO||0.0000|0.0000|0.0000||||
NP1021|JGO. CONCHA BANCADA 0.20 AVEO EXFIRE|OTROS||0.0000|0.0000|0.0000||||
23060-23911|JGO. CONCHA BIELA TUCSON 0.10|TUCSO|00062|0.0000|6.9100|1.8500|CHINA|||
KK1Y0-11SFE0|JGO. CONCHA BIELA RIO 0.10|RIO|00005|0.0000|6.6800|2.1000|KOREA|||
KK1Y0-11SH0|JGO. CONCHA BANCADA KIA RIO 0.10 (0,25)|RIO|00005|0.0000|10.2700|4.9100|KOREA|||
KK1Y0-11SF0|JGO. CONCHA BIELA KIA RIO 0.10 (0,25)|RIO|00065|0.0000|5.0800|1.7300|KOREA|||
0SE01-11213|JGO. BOCINAS PREGIO|PREGI|00072|0.0000|9.7900|3.7200|KOREA|||
21310-23002|BOMBA  ACEITE TUCSON MOBIS|TUCSO|00004|0.0000|0.0000|0.0000|KOREA|||
0K30C-59560C|MECANISMO ELEVA VIDRIO KIA RIO LH MOBIS|RIO|00004|0.0000|66.9500|39.0100|KOREA|||
0K6Z1-11SE0|JGO. CONCHA BIELA PREGIO STD|PREGI|00037|0.0000|11.5500|3.5900|KOREA|||
0K75B-18140|JGO. BUJIA PREGIO 3.0|PREGI|00044|0.0000|25.1100|8.0000|KOREA|||
24312-2X000|CORREA TIEMPO RIO 1.5 GATES|RIO|00031|0.0000|17.8900|5.0600|KOREA|||
20910-02H00|JGO. EMPACADURA KIA PICANTO|PICAN|00002|0.0000|32.3400|10.2800|KOREA|||
22441-23800|EMPACADURA TAPA VALVULA TUCSON 12 HUECOS|TUCSO|00020|0.0000|4.2500|1.2700|KOREA|||
0K75A-111201C|JUEGO PASADOR PISTON PREGIO 3.0|PREGI|00070|0.0000|0.0000|0.0000|KOREA|||
0K75A-10100B|CAMARA KIA PREGIO 3.0 CON VALVULAS|PREGI|00005|0.0000|676.2100|190.0000|KOREA|||
0K65B-10220B|TAPA VALVULA PREGIO KOREA|PREGI|00007|0.0000|37.7200|6.7100|KOREA|||
23040-4Z910|JGO. ANILLOS PREGIO 3.0|PREGI|00112|0.0000|69.0300|22.0000|KOREA|||
OVNY1-11SF0|JGO. CONCHA BIELA PREGIO 0.10|PREGI|00005|0.0000|11.5500|3.5000|KOREA|||
HY820|PUNTA TRIPOIDE TUCSON 27 X 23|TUCSO||0.0000|0.0000|0.0000||||
HY822|PUNTA TRIPOIDE TUCSON 27 X 25|TUCSO||0.0000|0.0000|0.0000||||
23410-26111-030|JGO. PISTON GETZ 1.6 0.30|ELGTZ|00062|0.0000|40.0000|11.8000|CHINA|||
0K79A-18300|ALTERNADOR PREGIO 3.0|PREGI|00004|0.0000|416.6100|150.9800|KOREA|||
66400-07021|CAPOT PICANTO MN ORIGINA|PICAN||0.0000|0.0000|0.0000||||
96476682|GUARDAFANGO RH AVEO|OTROS||0.0000|0.0000|0.0000||||
OK30C-50220|PARACHOQUE TRASERIO RIO 2002|RIO||0.0000|0.0000|0.0000||||
66400-07021-TW|CAPOT PICANTO TAIWAN|PICAN||0.0000|0.0000|0.0000||||
HDK-036|KIT EMBRAGUE ACCENT 1.5|ACCEN||0.0000|0.0000|0.0000||||
MZ-01MR|PUNTA TRIPOIDE KIA RIO|RIO|00131|0.0000|28.6800|12.6100|KOREA|||
23110-4X000|CIGUE¥AL PREGIO 3.0|PREGI|00140|0.0000|300.5500|91.3500|KOREA|||
23510-23700|BRAZO BIELA TUCSON|TUCSO|00159|0.0000|38.1400|12.8200|KOREA|||
51720-2D000|RODAMIENTO DELANTERO ELANTRA XD|OTROS||0.0000|21.6100|6.8100||||
27301-26640|BOBINA RIO CVVT 1.6 / ACCENT 1.6|OTROS|00002|0.0000|23.1200|10.0800|KOREA|||
27301-3E400|BOBINA SANTA FE 2 PINES|SPTFE|00066|0.0000|29.3300|8.8700|KOREA|||
56311-2E100|GUARDAFANGO LH TUCSON|TUCSO||0.0000|0.0000|0.0000||||
66321-2E100|GUARDAFANGO RH TUCSON|TUCSO||0.0000|0.0000|0.0000||||
58315FDA01|JGO BANDA FRENO RIO STYLUS|RIO||0.0000|0.0000|0.0000||||
218102D100|BASE MOTOR RH ELANTRA|ELGTZ|00143|0.0000|30.6000|14.9300|KOREA|||
0VN0111210|BRAZO BIELA PREGIO MOBIS|PREGI||0.0000|0.0000|0.0000||||
0K30A-18-10X-K|BOBINA KIA RIO 1.5 PMC|RIO|00002|0.0000|54.1800|17.1600|KOREA|||
21310-02550|BOMBA ACEITE KIA PICANTO MOBIS|PICAN|00004|0.0000|85.4100|27.2000|KOREA|||
0K30F14100D-PM|BOMBA ACEITE KIA RIO 1.5 PARTS MALL|RIO|00002|0.0000|69.3300|26.7500|KOREA|||
25100-02566|BOMBA AGUA PICANTO|PICAN|00011|0.0000|23.4300|5.5000|CHINA|||
0K30C11300|CIGUE¥AL KIA RIO 1.5 KOREA|RIO|00007|0.0000|202.5700|70.0000|KOREA|||
25380-1C360-A|ELECTROVENTILADOR GETZ 1.6|ELGTZ|00062|0.0000|77.2600|17.5000|CHINA|||
25380-1C150|ELECTROVENTILADOR GETZ 1.6 TM|GETZ||0.0000|0.0000|0.0000||||
P94535472|ESTOPERA DELANTERA SPARK GM|OTROS||0.0000|0.0000|0.0000||||
4311928000|ESTOPERA LADO CAJA  ACCENT RIO|RIO|00077|0.0000|1.4700|0.5600|KOREA|||
41510-07110|GUAYA CLUTCH PICANTO MOBIS|PICAN||0.0000|0.0000|0.0000||||
23040-23000|JGO. ANILLO TUCSON STD GRUESO|TUCSO|00112|0.0000|31.2300|12.6500|KOREA|||
27501-02H00|JGO. CABLE BUJIA PICANTO|PICAN||0.0000|0.0000|0.0000||||
96497773|JGO. CABLE BUJIA  AVEO|OTROS||0.0000|0.0000|0.0000||||
51750FD000|MOSO DELANTERO RIO STYLUS|RIO||0.0000|30.7400|8.6700||||
3925023500|SENSOR DETONACION TUCSON ELANTRA|TUCSO|00159|0.0000|22.7400|4.8900|KOREA|||
3918023910|SENSOR POSICION CIGUENAL TUCSON/ELAN MOBIS|TUCSO|00004|0.0000|21.5100|6.2200|KOREA|||
224002X001|TAPA VALVULA RIO STYLUS|RIO|00004|0.0000|94.0200|29.9600|KOREA|||
0K75615171C|TERMOSTATO PREGIO MOBIS|PREGI||0.0000|0.0000|0.0000||||
0K2C0-15-171|TERMOSTATO KIA RIO MOBIS|RIO||0.0000|0.0000|0.0000||||
3515022000|VALVULA IAC ACCENT|ACCEN||0.0000|0.0000|0.0000||||
21020-23340-050|JGO. CONCHA BANCADA TUCSON 0.20|TUCSO|00062|0.0000|13.5200|3.1200|CHINA|||
23040-23010|JGO. ANILLOS GETZ 1.6 0.30|GETZ||0.0000|0.0000|0.0000||||
25330-2E000|TAPA RADIADOR 1.1|TUCSO|00174|0.0000|3.9800|1.3000|KOREA|||
24255-23800|OCV TUCSON|TUCSO|00004|0.0000|90.5900|28.8500|KOREA|||
HDK-062|KIT EMBRAGUE PICANTO VALEO|PICAN|00066|0.0000|93.9500|31.1400|KOREA|||
25650-02560|TOMA AGUA CORTA PICANTO CON SENSOR|PICAN||0.0000|0.0000|7.7100||||
25611-02502|TOMA AGUA CORTA PICANTO SIN SENSOR|PICAN|00062|0.0000|7.7300|2.3000|CHINA|||
25600-02566|TOMA AGUA LARGA PICANTO CON TERMOSTATO|PICAN|00062|0.0000|21.0000|6.5000|CHINA|||
0K75A11201C|KIT PASADOR PISTON PREGIO|PREGI|00127|0.0000|30.4500|8.3000|KOREA|||
RODTRAS|KIT RODAMIENTO TRASERO RIO|RIO|00007|0.0000|6.9400|2.5900|KOREA|||
52720-1F000|RODAMIENTO TRASERO TUCSON 4X4|TUCSO|00060|0.0000|23.2600|7.0000|KOREA|||
22224-2B001|JGO. GOMA VALVULA KIA PICANTO|PICAN|00002|0.0000|7.4200|2.4000|KOREA|||
24410-23400|TENSOR TIEMPO ELANTRA 2.0 LISO|ELGTZ|00001|0.0000|21.5300|7.1300|KOREA|||
373004Z600|ALTERNADOR KIA PREGIO 3.0|PREGI|00007|0.0000|211.8000|90.0000|KOREA|||
21910-2D050|BASE MOTOR DEL. ELANTRA PMC|ELGTZ|00182|0.0000|13.4600|5.8500|KOREA|||
21810FD060|BASE MOTOR KIA RIO SYTLUS 3|RIO|00095|0.0000|25.3400|8.8800|KOREA|||
2185022300|BASE MOTOR TRASERA ACCENT CARACOL|ACCEN||0.0000|0.0000|0.0000||||
546102D100|BASE AMORT. DEL ELANTRA XD|ELGTZ|00169|0.0000|15.1700|6.0500|KOREA|||
27301-26600-PMC|BOBINA GETZ 1.6 PMC|ELGTZ|00002|0.0000|53.2000|15.0600|KOREA|||
0K30A-18-10X|BOBINA KIA RIO DENSO|RIO|00085|0.0000|47.1700|17.2400|KOREA|||
4171022660|BOMBIN CLUTCH ACCENT 11O0080|ACCEN|00069|0.0000|25.8800|7.9500|KOREA|||
54813-22200|BUJE BARRA ESTABILIZADORA ACCENT|ACCEN||0.0000|0.0000|0.0000||||
KDX74-33-251|DISCO FRENO RIO STYLUS|RIO||0.0000|0.0000|0.0000||||
97730-22000|ELECTROVENTILADOR AUXILIAR ACCENT|ACCEN||0.0000|0.0000|0.0000||||
25380-22220|ELECTROVENTILADOR PRINCIPAL ACCENT|ACCEN||0.0000|0.0000|0.0000||||
25380-2E250|ELECTROVENTILADOR TUCSON|TUCSO|00062|0.0000|90.3600|25.8000|CHINA|||
22441-22012|EMPACADURA TAPA VALVULA ACCENT|ACCEN|00108|0.0000|3.4900|1.2200|CHINA|||
3197344000|FILTRO GASOIL PREGIO|PREGI|00119|0.0000|7.6800|2.7500|KOREA|||
31911-22000|FILTRO GASOLINA ACCENT|ACCEN|00077|0.0000|4.6900|2.1000|KOREA|||
27501-22B00|JGO. CABLE BUJIA ACCENT/PICANTO|PICAN|00081|0.0000|12.5600|1.8500|KOREA|||
VAL-PREG|JGO. VALVULA PREGIO 8PCS|PREGI||0.0000|0.0000|0.0000||||
0K72A-34510A|MUNON PREGIO|PREGI|00131|0.0000|14.7600|6.4900|KOREA|||
58101-2DA31|PASTILLA FRENO ELANTRA XD|OTROS||0.0000|0.0000|0.0000||||
58101-24A00|JGO. PASTILLA ACCENT/GETZ|ELGTZ|00108|0.0000|14.0100|6.0100|CHINA|||
58101-3CA70|PASTILLA FRENO TUCSON|TUCSO||0.0000|0.0000|0.0000||||
2441023050|TENSOR TIEMPO TUCSON GANCHO|TUCSO|00001|0.0000|34.2300|13.2600|KOREA|||
0K72A-32-240A|TERMINAL PREGIO|PREGI||0.0000|0.0000|0.0000||||
3922022020|VALVULA TEMPERATURA ACCENT|ACCEN|00007|0.0000|3.6600|1.3800|KOREA|||
57724-2D000|ROTULA ELANTRA XD|ELGTZ|00002|0.0000|11.6500|3.5000|KOREA|||
KIT-050PIC|KIT PISTON Y ANILLO PICANTO 0.20 (050)|PICAN||0.0000|0.0000|31.6400||||
KIT-075PIC|KIT PISTON Y ANILLO PICANTO 0.30 (075)|PICAN||0.0000|0.0000|0.0000||||
24312-37500|CORREA DE TIEMPO SPORTAGE 2.7 207YU32|OTROS|00088|0.0000|42.7700|12.5500|KOREA|||
24355-23800-K|VALVULA OCV TUCSON KOREANA|TUCSO|00159|0.0000|38.9500|13.4200|KOREA|||
23410-26511-0.5|JGO. PISTON GETZ 0.50 ARO FINO|GETZ|00015|0.0000|0.0000|24.0500|KOREA|||
23410-02270 -0.|JGO PISTON PICANTO 0.50|PICAN||0.0000|0.0000|0.0000||||
23410-23942-K|JGO. PISTON TUCSON 0.50 ARO FINO KOREANO|TUCSO|00015|0.0000|0.0000|29.2700|KOREA|||
23040-26160-050|JGO. ANILLO GETZ 1.6 0.20 (0,50) FINO|ELGTZ|00062|0.0000|19.3200|5.7000|CHINA|||
23040-02970-050|JGO. ANILLO PICANTO 0.20 (0,50)|PICAN|00112|0.0000|27.2100|9.4100|KOREA|||
23040-23902|JGO. ANILLO TUCSON 0.20 (0,50) GRUESO|TUCSO|00112|0.0000|32.0800|13.0000|KOREA|||
27301-3E400-PMC|BOBINA SANTA FE 2 PINES PMC|SPTFE|00002|0.0000|23.8900|9.4600|KOREA|||
25215-4Z020-OEM|CORREA  ALTERNADOR PREGIO MOBIS|PREGI||0.0000|0.0000|0.0000||||
23040-4Z910-OEM|JGO. ANILLO KIA PREGIO 3.0 MOBIS|PREGI|00004|0.0000|84.5500|9.3100|KOREA|||
4142139275-OEM|COLLARIN TUCSON KP|TUCSO|00118|0.0000|8.2400|2.5000|CHINA|||
273012B000|BOBINA KIA CERATO 1.6|OTROS|00002|0.0000|24.1400|9.0900|KOREA|||
54584-2E000|BUJE MESETA GRANDE TUCSON|TUCSO|00095|0.0000|5.6700|1.7700|KOREA|||
35301-22032|REGULADOR GASOLINA ACCENT INZI|ACCEN|00084|0.0000|26.3900|7.0900|KOREA|||
0K75A-10-271|EMPACADURA CµMARA PREGIO 3.0|PREGI||0.0000|0.0000|0.0000||||
22311-22001-OEM|EMPACADURA CAMARA ACCENT 1.5 ORIGINAL|ACCEN|00108|0.0000|3.8600|1.5500|CHINA|||
ESTO-343|ESTOPERA DELANTERA CIGUE¥AL RIO 1.5|RIO|00077|0.0000|0.9600|0.4700|KOREA|||
ESTO-342|ESTOPERA LEVA KIA RIO 1.5|RIO|00007|0.0000|1.5800|0.3600|KOREA|||
41430-22652|HORQUILLA CLUTCH ACCENT|ACCEN|00002|0.0000|8.9000|2.0400|KOREA|||
54615-FD000|BASE AMORT. KIA RIO STYLUS RH|RIO|00131|0.0000|21.6700|9.5300|KOREA|||
54615-FD000-K|BASE AMORT. KIA RIO STYLUS RH KOREA|RIO|00002|0.0000|21.2800|7.1300|KOREA|||
