codmovart|fecha_mov|tipinv|cantidad|almacen|numdoc
23410-25210-050|2023-12-21 00:00:00|SAL|4|01|100013
0K75615171C|2023-11-02 00:00:00|SAL|4|01|100014
25620-25002|2023-11-02 00:00:00|SAL|9|01|100014
39210-37513|2023-11-02 00:00:00|SAL|2|01|100014
0K6A1-10155|2023-12-18 00:00:00|SAL|4|01|100015
0K3Y011SF0-PMC|2023-12-18 00:00:00|SAL|6|01|100015
21810-2E000-R|2023-12-18 00:00:00|SAL|10|01|100015
27501-39A00|2023-12-18 00:00:00|SAL|5|01|100015
25100-25002-SEO|2023-01-21 00:00:00|SAL|6|01|100016
57724-4H000-SEO|2023-01-21 00:00:00|SAL|2|01|100016
54830-1F000|2023-01-14 00:00:00|SAL|5|01|100017
25460-26000-SEO|2023-02-02 00:00:00|SAL|8|01|100018
21810-2G000-SEO|2023-02-02 00:00:00|SAL|2|01|100018
39210-3C200-SEO|2023-02-02 00:00:00|SAL|4|01|100018
23060-02591-020|2023-10-12 00:00:00|SAL|8|01|100019
39310-02200-K|2023-10-12 00:00:00|SAL|1|01|100019
2410002200|2023-10-12 00:00:00|SAL|8|01|100019
54551-4H000|2023-10-12 00:00:00|SAL|6|01|100019
51712-FD200|2023-03-09 00:00:00|SAL|10|01|100020
KITPISPIC-020|2023-03-09 00:00:00|SAL|2|01|100020
25411-2D000|2023-03-09 00:00:00|SAL|6|01|100020
0K30E-10271|2023-03-09 00:00:00|SAL|9|01|100020
24410-2E000|2023-05-27 00:00:00|SAL|5|01|100021
55160-1C200-SEO|2023-02-21 00:00:00|SAL|8|01|100022
82620-FD10008|2023-09-07 00:00:00|SAL|6|01|100023
21811-2B000-SE|2023-09-07 00:00:00|SAL|5|01|100023
0K3Y0-11-SC0-10|2023-02-21 00:00:00|SAL|8|01|100024
21811-4A200|2023-02-21 00:00:00|SAL|1|01|100024
33110-07150|2023-02-21 00:00:00|SAL|7|01|100024
25310-2E100A|2023-02-21 00:00:00|SAL|1|01|100024
54417-4AA00-KP|2023-02-25 00:00:00|SAL|6|01|100025
23120-02590|2023-02-25 00:00:00|SAL|3|01|100025
94460-2F000|2023-02-25 00:00:00|SAL|7|01|100025
22231-37110|2023-02-25 00:00:00|SAL|4|01|100025
22311-2E080|2023-05-27 00:00:00|SAL|3|01|100026
24810-23050-PMC|2023-01-15 00:00:00|SAL|10|01|100027
25720-23600|2023-01-15 00:00:00|SAL|10|01|100027
22321-26000|2023-01-15 00:00:00|SAL|10|01|100027
23410-26501-075|2023-01-15 00:00:00|SAL|8|01|100027
20910-2GU01|2023-01-15 00:00:00|SAL|6|01|100027
25430-4E010|2023-06-16 00:00:00|SAL|8|01|100028
94460-22020-SEO|2023-09-03 00:00:00|SAL|8|01|100029
0K2A218W63|2023-09-03 00:00:00|SAL|7|01|100029
25329-1R200|2023-09-03 00:00:00|SAL|7|01|100029
53912-2E200|2023-09-03 00:00:00|SAL|7|01|100029
46512-39600|2023-01-27 00:00:00|SAL|7|01|100030
54610-4H000|2023-01-27 00:00:00|SAL|6|01|100030
23040-3C200-STD|2023-01-27 00:00:00|SAL|6|01|100030
24410-23050-V|2023-12-21 00:00:00|SAL|10|01|100031
HDK-146|2023-12-21 00:00:00|SAL|1|01|100031
0K2FX-39-050|2023-12-21 00:00:00|SAL|2|01|100031
0K72A-34-830|2023-12-21 00:00:00|SAL|8|01|100031
KK1YO-11SH0-025|2023-12-19 00:00:00|SAL|6|01|100032
96966707-REX|2023-03-27 00:00:00|SAL|2|01|100033
26300-2Y500-SE|2023-03-27 00:00:00|SAL|10|01|100034
41610-2F110|2023-03-27 00:00:00|SAL|7|01|100034
41430-22652|2023-03-27 00:00:00|SAL|1|01|100034
25620-37350-SEO|2023-03-27 00:00:00|SAL|9|01|100034
51760-3K000|2023-08-12 00:00:00|SAL|2|01|100035
23510-4Z100-TKC|2023-08-12 00:00:00|SAL|2|01|100035
22410-22030-SE|2023-08-12 00:00:00|SAL|2|01|100035
25380-FD000-PMC|2023-04-28 00:00:00|SAL|8|01|100036
28113-22051|2023-04-02 00:00:00|SAL|9|01|100037
MEKIH109-SEONG|2023-04-02 00:00:00|SAL|6|01|100037
KITPISGETZ-STD|2023-04-02 00:00:00|SAL|7|01|100037
39180-37150-TKC|2023-04-02 00:00:00|SAL|2|01|100037
39220-3C100|2023-04-02 00:00:00|SAL|3|01|100037
23410-26111-100|2023-02-05 00:00:00|SAL|7|01|100038
HY-820|2023-02-05 00:00:00|SAL|5|01|100038
863502E000|2023-02-05 00:00:00|SAL|9|01|100038
56820-07000|2023-02-05 00:00:00|SAL|7|01|100038
25380-FD000-PMC|2023-01-07 00:00:00|SAL|5|01|100039
23040-3E001-050|2023-10-15 00:00:00|SAL|10|01|100040
23060-22540-100|2023-10-15 00:00:00|SAL|4|01|100040
58510-4H000|2023-07-21 00:00:00|SAL|9|01|100041
25310-2E100A-SE|2023-05-10 00:00:00|SAL|5|01|100042
83241-2D000-SEO|2023-05-10 00:00:00|SAL|10|01|100042
23410-26111-100|2023-05-10 00:00:00|SAL|8|01|100042
826601C000CA|2023-03-13 00:00:00|SAL|6|01|100043
24810-23050|2023-03-13 00:00:00|SAL|2|01|100043
54551-1D000-PMC|2023-04-14 00:00:00|SAL|8|01|100044
56820-4Z000|2023-09-17 00:00:00|SAL|5|01|100045
57510-2E001|2023-06-09 00:00:00|SAL|4|01|100046
94460-2F000-K|2023-10-30 00:00:00|SAL|9|01|100047
23040-4Z910-SEO|2023-02-22 00:00:00|SAL|2|01|100048
22144-3B001-PMC|2023-02-22 00:00:00|SAL|5|01|100048
58115FDA00-PMC|2023-02-22 00:00:00|SAL|1|01|100048
24551-22020-SE|2023-05-12 00:00:00|SAL|10|01|100049
GT10160|2023-05-12 00:00:00|SAL|8|01|100049
27300-3F10B-SEO|2023-05-12 00:00:00|SAL|10|01|100049
26510-2X001|2023-05-12 00:00:00|SAL|10|01|100049
39330-22000-TKC|2023-05-12 00:00:00|SAL|10|01|100049
KITPISRIO-STD|2023-12-13 00:00:00|SAL|10|01|100050
25100-26902-SEO|2023-12-13 00:00:00|SAL|5|01|100050
21930-1F100|2023-12-13 00:00:00|SAL|5|01|100050
25100-39012|2023-12-13 00:00:00|SAL|5|01|100050
35150-22600-TKC|2023-01-15 00:00:00|SAL|7|01|100051
57724-4H000|2023-01-15 00:00:00|SAL|9|01|100051
51750-2D000-K|2023-01-15 00:00:00|SAL|1|01|100051
24410-3E100|2023-10-16 00:00:00|SAL|5|01|100052
97133-2E210|2023-10-16 00:00:00|SAL|5|01|100052
97133-2F010|2023-10-16 00:00:00|SAL|2|01|100052
51716-FD000|2023-11-26 00:00:00|SAL|2|01|100053
54500-FD000-KOR|2023-11-26 00:00:00|SAL|7|01|100053
0K72A-26610|2023-11-26 00:00:00|SAL|3|01|100053
KITPISTUCKO020|2023-11-26 00:00:00|SAL|8|01|100053
0K75A-10-100-AS|2023-11-12 00:00:00|SAL|1|01|100054
21810-26500|2023-11-12 00:00:00|SAL|8|01|100054
25620-23501-SEO|2023-06-03 00:00:00|SAL|2|01|100055
57100-4E001|2023-06-03 00:00:00|SAL|4|01|100055
0K72B-46500|2023-06-03 00:00:00|SAL|9|01|100055
31110-2D000-SEO|2023-06-03 00:00:00|SAL|7|01|100055
0S089-41400|2023-11-07 00:00:00|SAL|8|01|100056
57410LM29710|2023-11-07 00:00:00|SAL|3|01|100056
24431-37100-SE|2023-11-07 00:00:00|SAL|5|01|100056
0K30C-11210|2023-11-07 00:00:00|SAL|9|01|100056
39210-2X010|2023-01-19 00:00:00|SAL|3|01|100057
95670-2B000|2023-01-19 00:00:00|SAL|1|01|100057
21830-1C270-K|2023-05-16 00:00:00|SAL|1|01|100058
54840-B4000|2023-10-07 00:00:00|SAL|6|01|100059
23060-02502|2023-10-07 00:00:00|SAL|1|01|100059
21350-22001-213|2023-10-07 00:00:00|SAL|4|01|100059
58510-2B300-SE|2023-10-07 00:00:00|SAL|2|01|100059
24312-2X000-OEM|2023-10-07 00:00:00|SAL|5|01|100059
54551-02000|2023-08-26 00:00:00|SAL|7|01|100060
82210-2E000-SEO|2023-08-26 00:00:00|SAL|6|01|100060
863502E000|2023-08-26 00:00:00|SAL|3|01|100060
82620-2E000|2023-04-24 00:00:00|SAL|1|01|100061
56820-2B000-KP|2023-04-24 00:00:00|SAL|8|01|100061
22224-23001-16|2023-04-24 00:00:00|SAL|2|01|100061
36120-23070|2023-08-29 00:00:00|SAL|7|01|100062
22212-26600|2023-08-29 00:00:00|SAL|5|01|100062
58115241S0|2023-08-29 00:00:00|SAL|4|01|100062
21020-2G100|2023-08-29 00:00:00|SAL|5|01|100062
0KFY3-11-SC0-ST|2023-08-29 00:00:00|SAL|7|01|100062
KIT-03|2023-02-08 00:00:00|SAL|2|01|100063
110S8M22|2023-02-08 00:00:00|SAL|4|01|100063
25380-1C110|2023-02-08 00:00:00|SAL|8|01|100063
46321-39010-SEO|2023-02-08 00:00:00|SAL|2|01|100063
31150-3E000|2023-02-08 00:00:00|SAL|5|01|100063
21830-1G000-SEO|2023-10-21 00:00:00|SAL|3|01|100064
94460-D3000|2023-10-21 00:00:00|SAL|3|01|100064
54610-25000-SEO|2023-10-21 00:00:00|SAL|5|01|100064
24355-23770-SE|2023-10-21 00:00:00|SAL|5|01|100064
28113-08000-SEO|2023-10-21 00:00:00|SAL|1|01|100064
22441-25100|2023-12-25 00:00:00|SAL|7|01|100065
39310-38400|2023-12-25 00:00:00|SAL|10|01|100065
22441-2X001-CH|2023-12-25 00:00:00|SAL|9|01|100065
21352-3C500|2023-12-25 00:00:00|SAL|7|01|100065
54610-D7000|2023-11-25 00:00:00|SAL|5|01|100066
2306002591-PMC|2023-11-25 00:00:00|SAL|6|01|100066
41100-22710-KP|2023-11-25 00:00:00|SAL|6|01|100066
KITPISGETZ-030|2023-11-25 00:00:00|SAL|3|01|100066
0K201-11312.|2023-07-08 00:00:00|SAL|8|01|100067
25500-2B400-TKC|2023-08-03 00:00:00|SAL|9|01|100068
39180-22090-SE|2023-08-03 00:00:00|SAL|1|01|100068
545014A600|2023-08-03 00:00:00|SAL|3|01|100068
22311-2C200|2023-03-05 00:00:00|SAL|2|01|100069
24321-2G111|2023-10-30 00:00:00|SAL|10|01|100070
24610-22600|2023-06-16 00:00:00|SAL|9|01|100071
22211-42220|2023-06-16 00:00:00|SAL|6|01|100071
0K9BV-12205|2023-04-30 00:00:00|SAL|9|01|100072
21930-2B500|2023-04-30 00:00:00|SAL|8|01|100072
22224-3C100|2023-04-30 00:00:00|SAL|4|01|100072
92202-FD000-SEO|2023-06-10 00:00:00|SAL|1|01|100073
0K6Z2-11SG0-SEO|2023-04-20 00:00:00|SAL|9|01|100074
23060-26985|2023-06-03 00:00:00|SAL|2|01|100075
21810-2D050-DHM|2023-06-03 00:00:00|SAL|5|01|100075
517503A003|2023-05-25 00:00:00|SAL|1|01|100076
22100-22600-SEO|2023-05-25 00:00:00|SAL|8|01|100076
31110-1D000|2023-05-25 00:00:00|SAL|9|01|100076
24410-23400|2023-10-31 00:00:00|SAL|10|01|100077
22441-23800-OEM|2023-10-31 00:00:00|SAL|8|01|100077
25412-2D150|2023-10-31 00:00:00|SAL|5|01|100077
24610-22600-CH|2023-07-17 00:00:00|SAL|7|01|100078
56820-4Z050|2023-07-17 00:00:00|SAL|9|01|100078
25380-07000|2023-07-17 00:00:00|SAL|1|01|100078
21441-22610|2023-07-17 00:00:00|SAL|8|01|100078
24450-37100-SEO|2023-07-17 00:00:00|SAL|1|01|100078
43134-39011|2023-10-13 00:00:00|SAL|6|01|100079
0K74R-23-603|2023-10-13 00:00:00|SAL|9|01|100079
0K65B-32611|2023-10-13 00:00:00|SAL|1|01|100079
KITPIC020|2023-06-22 00:00:00|SAL|1|01|100080
KIT-K101|2023-06-22 00:00:00|SAL|4|01|100080
31110-07150-PMC|2023-06-22 00:00:00|SAL|3|01|100080
KITPISSOR8-030|2023-11-04 00:00:00|SAL|8|01|100081
24810-37120|2023-11-04 00:00:00|SAL|7|01|100081
93490-2E000-SEO|2023-11-04 00:00:00|SAL|7|01|100081
21910-3K800|2023-11-04 00:00:00|SAL|4|01|100081
25281-3E000|2023-03-03 00:00:00|SAL|2|01|100082
OK3Y0-SE0-STD|2023-03-03 00:00:00|SAL|10|01|100082
55513-2B200|2023-03-03 00:00:00|SAL|6|01|100082
25720-23600|2023-03-03 00:00:00|SAL|7|01|100082
22441-02400|2023-03-03 00:00:00|SAL|5|01|100082
58101-4AA90|2023-08-20 00:00:00|SAL|2|01|100083
21020-25150|2023-08-20 00:00:00|SAL|5|01|100083
23111-26100-SEO|2023-08-20 00:00:00|SAL|2|01|100083
94460-D3000|2023-08-20 00:00:00|SAL|5|01|100083
39250-3E110|2023-08-20 00:00:00|SAL|8|01|100083
43394-28500-OEM|2023-03-29 00:00:00|SAL|4|01|100084
259YU32|2023-03-29 00:00:00|SAL|3|01|100084
51712-C1000|2023-03-29 00:00:00|SAL|2|01|100084
21030-38100|2023-03-29 00:00:00|SAL|4|01|100084
39250-03000|2023-11-23 00:00:00|SAL|6|01|100085
0K65A-15186B|2023-11-23 00:00:00|SAL|10|01|100085
22441-2B000-K|2023-11-23 00:00:00|SAL|6|01|100085
0K30F14100D-PM|2023-12-13 00:00:00|SAL|6|01|100086
0K7Y0-11-SJ010|2023-09-21 00:00:00|SAL|2|01|100087
97133-2B010|2023-09-21 00:00:00|SAL|8|01|100087
8263033001|2023-04-02 00:00:00|SAL|8|01|100088
35301-25000|2023-04-02 00:00:00|SAL|10|01|100088
25500-22250-SEO|2023-10-12 00:00:00|SAL|6|01|100089
49130-4A000-SEO|2023-10-12 00:00:00|SAL|3|01|100089
39350-25000|2023-10-12 00:00:00|SAL|1|01|100089
27501-37A00|2023-10-12 00:00:00|SAL|4|01|100089
0K30E-12205-SUN|2023-08-18 00:00:00|SAL|8|01|100090
23510-02501-TKC|2023-08-18 00:00:00|SAL|3|01|100090
21810-1G000-KP|2023-08-23 00:00:00|SAL|9|01|100091
23111-2G030|2023-08-23 00:00:00|SAL|3|01|100091
0K01134160A-SE|2023-08-23 00:00:00|SAL|2|01|100091
24355-3C200-TKC|2023-08-23 00:00:00|SAL|5|01|100091
86820-2B000-SEO|2023-11-19 00:00:00|SAL|1|01|100092
0K30E-18-140-CH|2023-11-19 00:00:00|SAL|3|01|100092
KIK-017|2023-12-16 00:00:00|SAL|9|01|100093
31110-1C00-REEM|2023-12-16 00:00:00|SAL|1|01|100093
23040-39500-050|2023-06-26 00:00:00|SAL|8|01|100094
58129-4A210-SEO|2023-06-26 00:00:00|SAL|8|01|100094
VAL-PREG|2023-06-26 00:00:00|SAL|9|01|100094
57700-1C000-SE|2023-05-08 00:00:00|SAL|6|01|100095
23410-26511-STD|2023-07-10 00:00:00|SAL|4|01|100096
39250-26600-TKC|2023-07-10 00:00:00|SAL|2|01|100096
86530-2E000|2023-07-10 00:00:00|SAL|8|01|100096
23410-23AA1-STD|2023-07-10 00:00:00|SAL|1|01|100096
20910-2GU01|2023-07-10 00:00:00|SAL|4|01|100096
54840-2B200|2023-12-08 00:00:00|SAL|9|01|100097
20910-42E10|2023-12-08 00:00:00|SAL|5|01|100097
57755-1C000|2023-12-08 00:00:00|SAL|6|01|100097
23040-2B001-SEO|2023-12-08 00:00:00|SAL|7|01|100097
25380-2E250|2023-07-10 00:00:00|SAL|4|01|100098
2304002970-050D|2023-07-10 00:00:00|SAL|8|01|100098
21443-2A001|2023-07-10 00:00:00|SAL|9|01|100098
KIT-H01|2023-07-10 00:00:00|SAL|1|01|100098
KS66410270|2023-07-10 00:00:00|SAL|1|01|100098
58101-07A00|2023-06-23 00:00:00|SAL|8|01|100099
31973-44001|2023-06-23 00:00:00|SAL|8|01|100099
0K241-20660-SEO|2023-06-23 00:00:00|SAL|8|01|100099
43794-1C000|2023-09-05 00:00:00|SAL|5|01|100100
23510-23700-SEO|2023-09-05 00:00:00|SAL|5|01|100100
25412-1C200-SEO|2023-03-22 00:00:00|SAL|3|01|100101
82610-1C000-KP|2023-03-22 00:00:00|SAL|8|01|100101
KITRODPRE-REE|2023-03-22 00:00:00|SAL|4|01|100101
21930-1G000|2023-03-22 00:00:00|SAL|5|01|100101
23410-37317-050|2023-03-22 00:00:00|SAL|10|01|100101
KK1YO-11SH0-025|2023-04-13 00:00:00|SAL|2|01|100102
24315-42200|2023-04-13 00:00:00|SAL|8|01|100102
21020-37921|2023-08-30 00:00:00|SAL|5|01|100103
26510-26600|2023-11-02 00:00:00|SAL|4|01|100104
22211-23600-OEM|2023-11-02 00:00:00|SAL|9|01|100104
0K30E-12111-SEO|2023-11-02 00:00:00|SAL|2|01|100104
37300-22200|2023-11-02 00:00:00|SAL|10|01|100104
23124-02210-SEO|2023-09-05 00:00:00|SAL|7|01|100105
0K247-12101-TKC|2023-09-05 00:00:00|SAL|3|01|100105
21811-2B000-SE|2023-09-05 00:00:00|SAL|4|01|100105
82650-2E000CA|2023-09-05 00:00:00|SAL|8|01|100105
54530-07000-KP|2023-05-26 00:00:00|SAL|1|01|100106
0K30E-18-131B-T|2023-05-26 00:00:00|SAL|7|01|100106
KITPISSON-030|2023-04-21 00:00:00|SAL|10|01|100107
24100-26800-SEO|2023-04-21 00:00:00|SAL|7|01|100107
21930-2G000-SEO|2023-04-21 00:00:00|SAL|1|01|100107
56540-22000-SEO|2023-04-21 00:00:00|SAL|1|01|100107
82660-FD010|2023-05-06 00:00:00|SAL|5|01|100108
21443-2A001|2023-05-06 00:00:00|SAL|4|01|100108
25212-3C100|2023-05-06 00:00:00|SAL|3|01|100108
21310-21030|2023-01-01 00:00:00|SAL|6|01|100109
56820-D3000|2023-01-01 00:00:00|SAL|4|01|100109
25100-3E001|2023-01-01 00:00:00|SAL|6|01|100109
56820-1G000-SEO|2023-12-14 00:00:00|SAL|10|01|100110
21930-1C250-SE|2023-12-14 00:00:00|SAL|6|01|100110
35310-38010|2023-12-14 00:00:00|SAL|7|01|100110
37300-2E400|2023-07-25 00:00:00|SAL|8|01|100111
27501-26D00-SE|2023-07-25 00:00:00|SAL|9|01|100111
SETCADETENCVVT|2023-07-25 00:00:00|SAL|8|01|100111
0K74R-23-603|2023-07-25 00:00:00|SAL|4|01|100111
39350-25000|2023-02-23 00:00:00|SAL|8|01|100112
51720-02000|2023-02-23 00:00:00|SAL|1|01|100112
39310-38400|2023-11-02 00:00:00|SAL|6|01|100113
23120-02590|2023-11-02 00:00:00|SAL|2|01|100113
IMZ-0317|2023-11-02 00:00:00|SAL|8|01|100113
0W001-25-060A|2023-11-02 00:00:00|SAL|5|01|100113
24410-3C300-SEO|2023-07-25 00:00:00|SAL|10|01|100114
22224-38010|2023-07-25 00:00:00|SAL|1|01|100114
21830-2D050|2023-07-25 00:00:00|SAL|8|01|100114
0K50F-18-840|2023-07-25 00:00:00|SAL|6|01|100114
KK1YO-11SHX-100|2023-05-28 00:00:00|SAL|1|01|100115
0K3Y0-SE0-STD|2023-05-28 00:00:00|SAL|8|01|100115
24312-2X000|2023-05-28 00:00:00|SAL|4|01|100115
24410-23050-OEM|2023-05-28 00:00:00|SAL|4|01|100115
0K756-15171C|2023-11-04 00:00:00|SAL|4|01|100116
23410-26511-STD|2023-11-04 00:00:00|SAL|7|01|100116
39310-38400|2023-11-04 00:00:00|SAL|2|01|100116
56820-2B000|2023-05-14 00:00:00|SAL|10|01|100117
54840-B4000|2023-10-23 00:00:00|SAL|1|01|100118
23111-25210|2023-10-23 00:00:00|SAL|5|01|100118
23040-26912|2023-06-28 00:00:00|SAL|1|01|100119
4PK850-SEONG|2023-06-28 00:00:00|SAL|4|01|100119
0VN01-13H50C-SE|2023-12-06 00:00:00|SAL|4|01|100120
31110-2B000-SE|2023-12-06 00:00:00|SAL|6|01|100120
23124-26011|2023-12-06 00:00:00|SAL|10|01|100120
0K30E-12111|2023-12-06 00:00:00|SAL|10|01|100120
58510-07000-K|2023-09-19 00:00:00|SAL|10|01|100121
37300-2E400|2023-09-19 00:00:00|SAL|9|01|100121
23410-02470|2023-09-19 00:00:00|SAL|7|01|100121
23060-02591-020|2023-09-19 00:00:00|SAL|10|01|100121
24552-22020|2023-03-03 00:00:00|SAL|1|01|100122
22211-3C811-SEO|2023-03-03 00:00:00|SAL|5|01|100122
22311-26101-SEO|2023-03-03 00:00:00|SAL|3|01|100122
94460-2F000-K|2023-03-03 00:00:00|SAL|2|01|100122
23410-25001|2023-03-06 00:00:00|SAL|2|01|100123
25100-23530|2023-03-06 00:00:00|SAL|5|01|100123
58510-07000-X2|2023-03-06 00:00:00|SAL|7|01|100123
0K30A-60960|2023-03-06 00:00:00|SAL|3|01|100123
56820-D3000|2023-04-24 00:00:00|SAL|9|01|100124
22441-2G100|2023-04-24 00:00:00|SAL|9|01|100124
21020-26040-100|2023-04-24 00:00:00|SAL|10|01|100124
0K77P-15200B-SE|2023-04-24 00:00:00|SAL|10|01|100124
21020-26040-STD|2023-04-24 00:00:00|SAL|5|01|100124
22441-23800|2023-03-30 00:00:00|SAL|10|01|100125
24551-02200-TKC|2023-03-30 00:00:00|SAL|5|01|100125
54813-B4000|2023-03-30 00:00:00|SAL|5|01|100125
0K74R-23603-SEO|2023-11-07 00:00:00|SAL|5|01|100126
23040-26160-STD|2023-11-07 00:00:00|SAL|9|01|100126
24410-2X701-OEM|2023-03-05 00:00:00|SAL|7|01|100127
22100-26100|2023-03-05 00:00:00|SAL|3|01|100127
21830-2E100|2023-03-05 00:00:00|SAL|10|01|100127
54453-4A600|2023-03-05 00:00:00|SAL|6|01|100127
0K7Z1-11SA0|2023-07-09 00:00:00|SAL|1|01|100128
0K72A-62-610-SE|2023-07-09 00:00:00|SAL|7|01|100128
52730-38102|2023-07-09 00:00:00|SAL|5|01|100128
0K3Y1-11SBX-020|2023-07-09 00:00:00|SAL|4|01|100128
5810107A00-PMC|2023-07-09 00:00:00|SAL|4|01|100128
22443-23001-SE|2023-02-09 00:00:00|SAL|7|01|100129
0K2A218W63|2023-02-02 00:00:00|SAL|5|01|100130
39210-3C200-SEO|2023-02-02 00:00:00|SAL|10|01|100130
0K75A11201C|2023-02-02 00:00:00|SAL|3|01|100130
39350-25010-TKC|2023-02-02 00:00:00|SAL|3|01|100130
22212-3C200|2023-03-29 00:00:00|SAL|9|01|100131
51750-4D000|2023-03-29 00:00:00|SAL|1|01|100131
KITTUC020|2023-03-29 00:00:00|SAL|7|01|100131
27300-3F100-K|2023-03-29 00:00:00|SAL|6|01|100131
23120-02570-K|2023-03-29 00:00:00|SAL|4|01|100131
KITPICSTD|2023-12-06 00:00:00|SAL|7|01|100132
24410-38001-K|2023-12-06 00:00:00|SAL|2|01|100132
0K30A-43400C-SE|2023-12-06 00:00:00|SAL|5|01|100132
KHBK-207YU32HAN|2023-05-24 00:00:00|SAL|6|01|100133
25412-22010|2023-05-24 00:00:00|SAL|9|01|100133
23060-22960-025|2023-06-16 00:00:00|SAL|1|01|100134
24312-39800|2023-06-16 00:00:00|SAL|6|01|100134
21830-3K800|2023-04-05 00:00:00|SAL|5|01|100135
51750-3A003-KP|2023-04-05 00:00:00|SAL|6|01|100135
39300-38200|2023-02-08 00:00:00|SAL|5|01|100136
0K30E-10271|2023-02-08 00:00:00|SAL|7|01|100136
0K9BV-12205|2023-02-08 00:00:00|SAL|2|01|100136
0K75A-10311B-SE|2023-02-08 00:00:00|SAL|1|01|100136
25461-22024-TKC|2023-02-08 00:00:00|SAL|5|01|100136
0K303-13250|2023-06-29 00:00:00|SAL|9|01|100137
57700-FD201|2023-12-23 00:00:00|SAL|8|01|100138
24410-23400-VAL|2023-08-22 00:00:00|SAL|2|01|100139
KIT-K101|2023-08-22 00:00:00|SAL|8|01|100139
52720-1F000|2023-08-22 00:00:00|SAL|9|01|100139
25500-23001-TKC|2023-08-22 00:00:00|SAL|7|01|100139
0S089-41400-K|2023-08-22 00:00:00|SAL|10|01|100139
0K2Y2-11-SHX-05|2023-01-02 00:00:00|SAL|9|01|100140
21930-07001|2023-01-02 00:00:00|SAL|5|01|100140
86811-22000-SEO|2023-02-17 00:00:00|SAL|2|01|100141
23060-2G120|2023-02-17 00:00:00|SAL|10|01|100141
517504H050|2023-02-17 00:00:00|SAL|10|01|100141
0K71E-17-295|2023-02-17 00:00:00|SAL|5|01|100141
22441-3E011|2023-02-17 00:00:00|SAL|3|01|100141
54830-2D000-K|2023-05-20 00:00:00|SAL|7|01|100142
27300-3F10B-SEO|2023-05-20 00:00:00|SAL|9|01|100142
35301-25000|2023-05-20 00:00:00|SAL|1|01|100142
56820-07000-CH|2023-05-20 00:00:00|SAL|4|01|100142
22311-03230|2023-05-20 00:00:00|SAL|4|01|100142
35102-02000-TKC|2023-09-20 00:00:00|SAL|3|01|100143
54813-2D100|2023-09-20 00:00:00|SAL|1|01|100143
23040-26101-STD|2023-02-16 00:00:00|SAL|6|01|100144
0K2N1-34-150|2023-02-16 00:00:00|SAL|6|01|100144
25310-2E400-SE|2023-06-28 00:00:00|SAL|8|01|100145
25100-39010|2023-06-28 00:00:00|SAL|3|01|100145
25830-1F251|2023-06-28 00:00:00|SAL|3|01|100145
0K3Y2-11SDX|2023-10-01 00:00:00|SAL|7|01|100146
25380-FD000|2023-10-01 00:00:00|SAL|8|01|100146
51720-02000-OEM|2023-10-01 00:00:00|SAL|3|01|100146
25500-37200-TKC|2023-05-05 00:00:00|SAL|1|01|100147
21910-2E002-KP|2023-05-05 00:00:00|SAL|5|01|100147
25460-3E700-R|2023-05-05 00:00:00|SAL|10|01|100147
58129-4A210-SEO|2023-05-05 00:00:00|SAL|7|01|100147
