numreq|numtra|emision|provee|nomprv|estatus|almacen|moneda|cambio|comen1|comen2|comen3|comen4|fecha_orde|fecha_desp|fecha_rece|naviera|contenedor|total_orde|total_desp|costo_flet|costo_naci
SS11302||20230802|00000048||OK|01|US$|0.0000|RECIBIDO 09/08||||||||0.0000|0.0000|0.0000|0.0000|0.0000
00000363||20230815|00000018||OK|01|US$|0.0000|MERCANCIA POR RECIBIR 18/08/23||||||||0.0000|0.0000|0.0000|0.0000|0.0000
23C001||20230822|00000096||OK|01|US$|0.0000|FACT 1 23C001 DE DHM23002SN GA|STOS 8.5|||||||0.0000|0.0000|0.0000|0.0000|0.0000
23C002||20230822|00000096||OK|01|US$|0.0000|FACT 2 DE DHM23002SN GASTOS 8.|5|||||||0.0000|0.0000|0.0000|0.0000|0.0000
22C007||20230822|00000096||OK|01|US$|0.0000|FACT 3 DE DHM23002SN GASTOS 8.|5|||||||0.0000|0.0000|0.0000|0.0000|0.0000
22C009||20230822|00000096||OK|01|US$|0.0000|FACT 4 DE DHM23002SN GASTOS 8.|5|||||||0.0000|0.0000|0.0000|0.0000|0.0000
23C001-1||20230822|00000096||OK|01|US$|0.0000|FACT 5 DE DHM23002SN GASTOS 8.|5|||||||0.0000|0.0000|0.0000|0.0000|0.0000
23C002-2||20230822|00000096||OK|01|US$|0.0000|FACT 6 DE DHM23002SN GASTOS 8.|5|||||||0.0000|0.0000|0.0000|0.0000|0.0000
11230829||20230829|00000063||OK|01|US$|0.0000|MERCANCIA EN TRANSITO SALIO 06|/09|||||||0.0000|0.0000|0.0000|0.0000|0.0000
DHM23003||20230918|00000096||OK|01|US$|0.0000|FACTURA 1 DE 6 23C001 / 40HQ S|OLO DHM|||||||0.0000|0.0000|0.0000|0.0000|0.0000
HM230032||20230918|00000096||OK|01|US$|0.0000|FACTURA 2 DE 6 23C002/40HQ SOL|O DHM|||||||0.0000|0.0000|0.0000|0.0000|0.0000
HM230033||20230918|00000096||OK|01|US$|0.0000|FACTURA 3 DE 6 22C007/40HQ SOL|O DHM|||||||0.0000|0.0000|0.0000|0.0000|0.0000
HM230034||20230918|00000096||OK|01|US$|0.0000|FACTURA 4 DE 6 22C009/40HQ SOL|O DHM|||||||0.0000|0.0000|0.0000|0.0000|0.0000
HM230035||20230918|00000096||OK|01|US$|0.0000|FACTURA 5 DE 6 23C001/1X40HQ D|HM SOLO|||||||0.0000|0.0000|0.0000|0.0000|0.0000
HM230036||20230918|00000096||OK|01|US$|0.0000|FACTURA 6 DE 6 23C002/1X40HQ D|HM SOLO|||||||0.0000|0.0000|0.0000|0.0000|0.0000
00001116||20231116|00000104||OK|01|US$|0.0000|MERCANCIA RECIBIDA 17/11/2023||||||||0.0000|0.0000|0.0000|0.0000|0.0000
D0006877||20231116|00000082||OK|01|US$|0.0000|MERCANCIA RECIBIDA 17/11/2023||||20231211|20231211|20231211||0.0000|1.0000|0.0000|0.0000|0.0000
11231122||20240109|00000063||OK|01|US$|0.0000|MERCANCIA TRANSITO 2 CONT CON|SENDAI|||||||0.0000|0.0000|0.0000|0.0000|0.0000
00000297||20240227|00000001||OK|01|US$|0.0000|MERCANCIA COMPRADA A REACA||||||||0.0000|0.0000|0.0000|0.0000|0.0000
JORGE||20240322|00000063||OK|01|US$|0.0000|||||||||0.0000|0.0000|0.0000|0.0000|0.0000
69328||20240217|00000110||OK|01|US$|0.0000|LLEGO CONTENEDOR MIX EXC,SEND,|REACA,CVC|||||||0.0000|0.0000|0.0000|0.0000|0.0000
PRUEBA||20240409|00000063|DERTPARTS|PE|01|US$|0.0000|||||||||0.0000|0.0000|0.0000|0.0000|0.0000
PRUEBA1||20240409|00000063|DERTPARTS|PE|01|US$|0.0000|||||||||0.0000|0.0000|0.0000|0.0000|0.0000
00008378||20240426|00000082||PE|01|US$|0.0000|MERCANCIA RECIBIDA 25/04/2024||||||||0.0000|0.0000|0.0000|0.0000|0.0000
00008597||20240517|00000082||OK|01|US$|0.0000|MRCANCIA RECIBIDA 24/05/2024||||||||0.0000|0.0000|0.0000|0.0000|0.0000
24C0012||20240514|00000096|PARTS MALL, CORP|OK|01|US$|0.0000|PARTE DOS DE FACTURA GRANDE||||||||0.0000|0.0000|0.0000|0.0000|0.0000
23C002||20240403|00000096|PARTS MALL, CORP|OK|01|US$|0.0000|SALIO EL 13/04 1X40HQ||||||||0.0000|0.0000|0.0000|0.0000|0.0000
23C001||20240403|00000096|PARTS MALL, CORP|OK|01|US$|0.0000|SALIO EL 13/04 1x40HQ||||||||0.0000|0.0000|0.0000|0.0000|0.0000
24C002||20240403|00000096|PARTS MALL, CORP|OK|01|US$|0.0000|SALIO EL 13/04 1X40HQ||||||||0.0000|0.0000|0.0000|0.0000|0.0000
24C001||20240511|00000096|PARTS MALL, CORP|OK|02|US$|0.0000|MERCANCIA POR RECIBIR 20/05 1X|40FT KOREA|||||||0.0000|0.0000|0.0000|0.0000|0.0000
10030684||20240627|00000111|GASA, S.A|OK|01|US$|0.0000|BUJIAS COMPARTIDAS EN NOTA 100|30684 CON SENDAI|||||||0.0000|0.0000|0.0000|0.0000|0.0000
00524051||20240627|00000063|DERTPARTS|OK|02|US$|0.0000|MERCANCIA EN TRANSITO JUNTO CO|N EXCELSO|||||||0.0000|0.0000|0.0000|0.0000|0.0000
5240411||20240709|00000063|DERTPARTS|OK|01|US$|0.0000|RECIBIDO EN CONTENEDOR CON SEN|DAI|||||||0.0000|0.0000|0.0000|0.0000|0.0000
52407291||20240916|00000063|DERTPARTS|OK|02|US$|0.0000|REPOSICION GARANTIA ITEMS||||||||0.0000|0.0000|0.0000|0.0000|0.0000
SINNUM||20241007|00000113|REPUESTOS ASIATICOS ACARIGUA, C.A. (REPUESTOS ASIATICOS ACARIGUA, C.A.)|OK|01|US$|0.0000|IMPORTACION DE REACA||||||||0.0000|0.0000|0.0000|0.0000|0.0000
5240729||20240913|00000063|DERTPARTS|OK|02|US$|0.0000|EN TRANSITO CON SENDAI, LLEGA2|4/09|||||||0.0000|0.0000|0.0000|0.0000|0.0000
RECPJUN||20241202|00000113|REPUESTOS ASIATICOS ACARIGUA, C.A. (REPUESTOS ASIATICOS ACARIGUA, C.A.)|OK|01|US$|0.0000|RECEP EN JUNIO. SIN REGISTRO E|N SIST A FECHA DE ESTE DOC.|||||||0.0000|0.0000|0.0000|0.0000|0.0000
24002SN||20241227|00000096|PARTS MALL, CORP|OK|01|US$|0.0000|Salio el 23-12||||||||0.0000|0.0000|0.0000|0.0000|0.0000
24002SN4||20250105|00000096|PARTS MALL, CORP|OK|01|US$|0.0000|FACTURA 4 SALIO EL 23-12||||||||0.0000|0.0000|0.0000|0.0000|0.0000
5240929||20241018|00000063|DERTPARTS|OK|01|US$|0.0000|CARGADO CON SENDAI EL 19/10||||||||0.0000|0.0000|0.0000|0.0000|0.0000
24002SN2||20241227|00000096|PARTS MALL, CORP|OK|01|US$|0.0000|SALIO EL 23-12||||||||0.0000|0.0000|0.0000|0.0000|0.0000
52407292||20250127|00000063|DERTPARTS|OK|01|US$|0.0000|FALTO POR INCLUIR||||||||0.0000|0.0000|0.0000|0.0000|0.0000
REACAPAN||20250204|00000113|REPUESTOS ASIATICOS ACARIGUA, C.A. (REPUESTOS ASIATICOS ACARIGUA, C.A.)|PE|01|US$|0.0000|IMPORTADAS POR REACA. PANAMA||||||||0.0000|0.0000|0.0000|0.0000|0.0000
24002SN3||20241227|00000096|PARTS MALL, CORP|OK|01|US$|0.0000|FACTURA 3 MERCANCIA SALIO EL 2|3-12|||||||0.0000|0.0000|0.0000|0.0000|0.0000
27022025||20250227|00000001|DEPOSITO|OK|03|US$|0.0000|MERCANCIA COMPRADA EN REMATE.J|ORGE RIERA|||||||0.0000|0.0000|0.0000|0.0000|0.0000
5250101||20250226|00000063|DERTPARTS|OK|01|US$|0.0000|SE CARGO CON SENDAI EN ENERO||||||||0.0000|0.0000|0.0000|0.0000|0.0000
6241128||20241212|00000063|DERTPARTS|OK|01|US$|0.0000|TRANSITO CON EXCELSO SALE EL 1|4/12|||||||0.0000|0.0000|0.0000|0.0000|0.0000
ZT-24||20241231|00000118|ZENITH TROOP IN. CO., LTD|OK|01|US$|0.0000|CARGADO CON EXCELSO Y SENDAI E|L 19-12|||||||0.0000|0.0000|0.0000|0.0000|0.0000
5250612||20250819|00000063|DERTPARTS|OK|01|US$|0.0000|CARGADO CON EXC Y SENDAI SOLOR|EMAINING|||||||0.0000|0.0000|0.0000|0.0000|0.0000
25H002||20251022|00000096|PARTS MALL, CORP|OK|01|US$|0.0000|FACTURA 4 DE 4||||||||0.0000|0.0000|0.0000|0.0000|0.0000
25C002||20251022|00000096|PARTS MALL, CORP|OK|01|US$|0.0000|FACTURA 2 DE 4||||||||0.0000|0.0000|0.0000|0.0000|0.0000
25C001||20250909|00000096|PARTS MALL, CORP|OK|01|US$|0.0000|DESPACHADO FINALES DE AGOSTO||||||||0.0000|0.0000|0.0000|0.0000|0.0000
25H001||20251022|00000096|PARTS MALL, CORP|OK|01|US$|0.0000|FACTURA 3 DE 4||||||||0.0000|0.0000|0.0000|0.0000|0.0000
05250813||20250901|00000063|DERTPARTS|OK|01|US$|0.0000|CARGADO CON SENDAI EL 31/08/20|25|||||||0.0000|0.0000|0.0000|0.0000|0.0000
5251020||20251117|00000063|DERTPARTS|PE|01|US$|0.0000|CARGADO CON EXC Y SENDAI||||||||0.0000|0.0000|0.0000|0.0000|0.0000
271025||20251027|00000113|REPUESTOS ASIATICOS ACARIGUA, C.A. (REPUESTOS ASIATICOS ACARIGUA, C.A.)|OK|01|US$|0.0000|IMPORTADO POR REACA||||||||0.0000|0.0000|0.0000|0.0000|0.0000
5351222||20260105|00000063|DERTPARTS|PE|1|US$|0.0000|cargado con exc + sm + zentra|+ shelves|||||||0.0000|0.0000|0.0000|0.0000|0.0000
